Name,Category,Brand,ImageURL,PLU,Barcode,Package,Price
Chamomille / Manzanilla 12CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/489_CTD-1153-Chamomille%20Manzanilla%2012CT.jpg,489,4833/ 8-64590-00055-6,Caja x12,24.86
Chayote Black 38LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/560_CTD-1224-Chayote%20Black%2038LB.jpg,560,CTD-1224,Caja x38,33.47
Chayote con Espinas 38LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/561_CTD-1225-Chayote%20con%20Espinas%2038LB.jpg,561,4785,Caja x38,29.05
Chenese Long Beans 30LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/437_CTD-1098-Chenese%20Long%20Beans%2030LB.jpg,437,4527,Caja x30,69.32
CHIKY Chocolate Cookies Bag 16/16.9 Oz,Galletas,CHIKY,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/384_CTD-1055.jpeg,384,0300-86581-314010,Caja x16,53.99
CHIKY STRAWBERRY COOKIES BAG 16/16.9OZ,Galletas,CHIKY,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/383_CTD-1054.jpeg,383,0300-86581-010875,Caja x16,53.99
Chilaca Peppers 20LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/456_CTD-1118-Chilaca%20Peppers%2020LB.jpg,456,4711,Caja x20,61.22
Chile Cobanero 183oz,Frutas y Vegetales Frescos,,,457,CTD-1119,,77.41
Chile De Arbol 20LB,Frutas y Vegetales Frescos,,,458,CTD-1120,,97.07
CHILE OLANCHO 12/20 OZ.,Condimentos,D Olancho,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/158_5435,158,7421206000039,Caja x12,32.04
CHILE OLANCHO 36/4.5 OZ,Condimentos,D' Olancho,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/157_5431,157,7421206000022,Caja x36,35.99
Chile/Habanero Plantain Chips 1215.86oz,Frutas y Vegetales Frescos,,,466,CTD-1128,,47.98
Chile/Jalapeño Plantain Chips 1215.86oz,Frutas y Vegetales Frescos,,,467,CTD-1129,,47.98
Chile/Limon Plantain Chips 1215.86oz,Frutas y Vegetales Frescos,,,468,CTD-1130,,47.98
Chinese Bittermelon 30LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/438_CTD-1099-Chinese%20Bittermelon%2030LB.jpg,438,4783,Caja x30,56.61
Chinese Eggplant 30LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/439_CTD-1100-Chinese%20Eggplant%2030LB.jpg,439,3089,Caja x30,52.20
Chinese Okra / Sinqua 30LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/440_CTD-1101-Chinese%20Okra%20Sinqua%2030LB.jpg,440,4656,Caja x30,40.44
Chipilin 12CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/490_CTD-1154-Chipilin%2012CT.jpg,490,8-64590-00050-1,Caja x12,43.36
CHOCOLISTO MILK MODIFIER BAG OW 18/7.05OZ,Abarrotes,CHOCOLISTO,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/390_CTD-1061.jpeg,390,0100-51817-500099,Caja x18,36.22
CHOCOLISTO MILK MODIFIER JAR OW 12/10.5OZ,Abarrotes,CHOCOLISTO,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/388_CTD-1059.jpeg,388,0100-51817-516106,Jar12,40.77
CHOCOLISTO MILK MODIFIER JAR OW 6/35.2OZ,Abarrotes,CHOCOLISTO,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/389_CTD-1060.jpeg,389,0100-51817-505131,Jar6,56.04
CHOCOLISTO STRAWBERRY MILKMOD BAG 18/7.05OZ,Abarrotes,CHOCOLISTO,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/391_CTD-1062.jpeg,391,0100-51817-502659,Caja x18,36.22
CHONTALENO QUESO EN TROZOS 1/14OZ CJ 12,Lácteos,Chontaleno,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/194_8341,194,810118992070,Por unidad,7.49
CHONTALENO QUESO MOROLIQUE TABLETA 1/14OZ CJ 12,Lácteos,Chontaleno,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/195_8342,195,810118992063,Por unidad,7.49
CLOVER BRAND MARGARINA DOMESTICA 24 PCS 400 GRS.,Condimentos,Clover,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/286_3096.jpg,286,7421001602018,Caja x24,57.50
COCA COLA 24/12 OZ,Bebidas,Coca Cola,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/340_1236.jpg,340,1236,Caja x24,32.20
COCA-COLA 1/2 LT.,Bebidas,Coca Cola,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/431_CTD-1097.jpeg,431,CTD-1097,Caja x24,37.99
Coco Verde 10CT,Frutas y Vegetales Frescos,,,528,CTD-1192,,30.64
COLCAFE 3 IN 1 JAR 12/13.4 OZ,Abarrotes,COLCAFE,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/397_CTD-1068.jpeg,397,0100-17202-101685,Caja x12,91.42
Colcafe Instant Coffee Jar 3 Oz x 6,Abarrotes,COLCAFE,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/395_CTD-1066.jpeg,395,0-17202-50170-9,Caja x6,27.29
Colcafe Instant Coffee Jar 6 Oz x 6,Abarrotes,COLCAFE,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/396_CTD-1067.jpeg,396,0-17202-50189-1,Caja x6,49.04
Colombiana la Nuestra Kola Soda 12/1.5 lt,Bebidas,Colombiana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/373_CTD-1044.jpeg,373,850050430889,Caja x12,27.99
CORONA CHOCO ZERO SUGAR OW 20/5.86OZ,Abarrotes,CORONA,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/394_CTD-1065.jpeg,394,0100-51817-508286,Caja x20,76.14
CORONA CHOCOLATE TRAD BARS 20/17.06OZ,Abarrotes,CORONA,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/393_CTD-1064.jpeg,393,0100-51817-505377,Caja x20,107.90
CORONA CHOCOLATE TRAD TAB OW 20/14.1 OZ,Abarrotes,CORONA,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/392_CTD-1063.jpeg,392,0100-51817-505100,Caja x20,107.90
CR-ADRENALINE ENERGIZANTE PEQUENA 24 /10.5 OZ,Bebidas,Adrenaline,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/350_CR-1481.png,350,CR-7421600303835,Caja x24,49.79
CR-AMP GOLD 12/20 OZ,Bebidas,,,436,CR-1255,,20.89
CR-DONA NITA CONCHAS 1/4.94OZ CJ 14,Galletas,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/368_CR-5391.png,368,CR-810118993022,Por unidad,1.39
CR-LA FINCA CHICHARRON BOTANERO 12/6 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/353_CR-6117.png,353,CR-810118991264,Caja x16,52.23
CR-LA FINCA CHICHARRON RUEDA CHILE LIME 24/3.02 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/337_CR-6233.png,337,CR-851356007072,Caja x24,44.99
CR-LA FINCA CONCHAS 1/10 OZ CJ 10,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/319_CR-5534.png,319,CR-851356007607,Por unidad,3.77
CR-LA FINCA COTIJA POLVO 1/16 OZ CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/359_CR-8199.png,359,CR-851356007997,Por unidad,4.89
CR-LA FINCA CREMA CHONTALENO 1/ 32 OZ. CJ 8,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/574_CR-8352.png,574,CR-810118991745,Por unidad,6.69
CR-LA FINCA CREMA HONDURENA 1/ 16 OZ. CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/432_CR-8353.png,432,CR-810118991707,Por unidad,3.49
CR-LA FINCA CREMA HONDURENA 1/ 32 OZ. CJ 8,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/433_CR-8350.png,433,CR-810118991677,Por unidad,6.29
CR-LA FINCA CREMA SALVADORENA 1/ 16 OZ. CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/435_CR-8354.png,435,CR-810118991714,Por unidad,3.49
CR-LA FINCA CREMA SALVADORENA 1/ 32 OZ. CJ 8,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/434_CR-8351.png,434,CR-810118991684,Por unidad,6.29
CR-LA FINCA FRIJOL PILOY ROJO 12/ 24 OZ (680G),Granos,,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/356_CR-3229.png,356,CR-810118991554,Caja x12,115.80
CR-LA FINCA GUARACHA REDONDA 1/10 OZ CJ 10,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/354_CR-5530.png,354,CR-851356007560,Por unidad,3.77
CR-LA FINCA QUESO FRESCO 6/ 10 OZ. CJ12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/352_CR-8208.png,352,CR-810118990465,pack6,16.90
CR-LA FINCA QUESO PARA PUPUSAS 1/16 OZ CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/351_CR-8198.png,351,CR-851356007980,Por unidad,5.29
CR-LA FINCA SALV SEMITA DE ARROZ 1/10 OZ CJ 10,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/355_CR-5532.png,355,CR-851356007584,Por unidad,3.77
CR-LA FINCA TOSTADA HORNEADA GUAJILLO 12/ 8.84 OZ.,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/367_CR-6231.png,367,CR-810118990519,Caja x12,30.48
CR-LF OAXACA 1/ 16 OZ CJ 8 (UNIDAD),Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/358_CR-8170.png,358,CR-810118990090,Por unidad,6.99
